epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3385,1.49774,2.62157,1.75848,0.17162,0.22481,0.11285,0.04385,2.0292,7.52512,2.4723,0.000475154,0.000475154,0.000475154
2,150.997,1.69508,2.57512,1.89933,0.31568,0.4018,0.32989,0.17945,1.57634,2.25772,1.88852,0.000932648,0.000932648,0.000932648
3,223.402,1.60976,2.36922,1.81712,0.4328,0.2764,0.34619,0.17678,1.6614,2.41362,1.91314,0.00137128,0.00137128,0.00137128
4,295.305,1.52324,2.20809,1.73024,0.53646,0.44349,0.48394,0.27268,1.43163,2.30327,1.76511,0.00134412,0.00134412,0.00134412
5,367.227,1.43624,1.95292,1.66062,0.67292,0.61695,0.6756,0.40988,1.21876,1.53216,1.55838,0.00131582,0.00131582,0.00131582
6,438.977,1.37769,1.80034,1.62043,0.6252,0.65257,0.67689,0.4186,1.22756,1.49007,1.56313,0.00128753,0.00128753,0.00128753
7,511.188,1.32441,1.67949,1.56586,0.69559,0.6125,0.70889,0.47408,1.16412,1.33815,1.47493,0.00125923,0.00125923,0.00125923
8,583.039,1.26628,1.54222,1.52445,0.81778,0.60013,0.74822,0.50223,1.15907,1.34006,1.51186,0.00123094,0.00123094,0.00123094
9,655.562,1.231,1.46575,1.49948,0.76184,0.73967,0.8003,0.54117,1.07739,1.2229,1.41377,0.00120265,0.00120265,0.00120265
10,727.716,1.20098,1.4015,1.47694,0.81087,0.77292,0.83477,0.59044,1.06509,1.04205,1.41697,0.00117435,0.00117435,0.00117435
11,799.767,1.16574,1.34073,1.44636,0.82809,0.78681,0.85171,0.59728,1.07175,0.99681,1.39775,0.00114606,0.00114606,0.00114606
12,871.451,1.14628,1.2812,1.43361,0.83537,0.74957,0.8334,0.58142,1.05032,1.05874,1.39905,0.00111776,0.00111776,0.00111776
13,942.874,1.11954,1.2319,1.40489,0.82679,0.79678,0.84295,0.59091,1.0404,0.96139,1.35753,0.00108947,0.00108947,0.00108947
14,1014.39,1.10722,1.18928,1.39962,0.84695,0.82901,0.89425,0.63652,1.01377,0.84938,1.34333,0.00106118,0.00106118,0.00106118
