epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8851,1.29597,3.18008,1.47254,0.53244,0.51501,0.51305,0.29977,1.28757,2.80718,1.41539,0.000475154,0.000475154,0.000475154
2,70.6265,1.38121,2.21599,1.50451,0.63856,0.45009,0.57231,0.34269,1.29805,2.56091,1.46857,0.000932648,0.000932648,0.000932648
3,104.708,1.403,1.87493,1.50576,0.55252,0.54442,0.54393,0.30251,1.41712,2.58171,1.58157,0.00137128,0.00137128,0.00137128
4,136.309,1.35534,1.7715,1.47851,0.75999,0.69105,0.74991,0.47299,1.24704,1.3953,1.45214,0.00134412,0.00134412,0.00134412
5,171.617,1.29859,1.57193,1.43417,0.79602,0.72616,0.82771,0.54769,1.14224,1.1534,1.32474,0.00131582,0.00131582,0.00131582
6,205.049,1.25528,1.47774,1.4021,0.69193,0.67639,0.76762,0.50001,1.17621,1.32302,1.3518,0.00128753,0.00128753,0.00128753
7,237.381,1.19477,1.34918,1.35706,0.76906,0.76118,0.83606,0.58226,1.0673,1.0241,1.25822,0.00125923,0.00125923,0.00125923
8,270.049,1.17828,1.27568,1.34461,0.8284,0.80353,0.85178,0.61093,1.03449,0.93409,1.23438,0.00123094,0.00123094,0.00123094
9,302.06,1.11915,1.20572,1.30996,0.86514,0.80936,0.87048,0.64138,0.99528,0.86883,1.20979,0.00120265,0.00120265,0.00120265
10,335.708,1.11403,1.15447,1.3016,0.84008,0.85646,0.90434,0.64419,1.00425,0.83737,1.22069,0.00117435,0.00117435,0.00117435
11,370.4,1.09712,1.13554,1.28626,0.87348,0.82273,0.89242,0.60966,1.08275,0.81374,1.27866,0.00114606,0.00114606,0.00114606
12,403.15,1.06878,1.082,1.26886,0.85957,0.84021,0.90456,0.6703,0.96466,0.81376,1.18224,0.00111776,0.00111776,0.00111776
13,437.278,1.05756,1.04074,1.26103,0.89264,0.84976,0.905,0.68305,0.93773,0.73204,1.16359,0.00108947,0.00108947,0.00108947
14,470.536,1.03193,1.00577,1.24452,0.91227,0.84731,0.91458,0.67719,0.9504,0.72138,1.18524,0.00106118,0.00106118,0.00106118
15,502.685,1.00883,0.955,1.23127,0.89284,0.87308,0.92869,0.68966,0.95446,0.66712,1.17016,0.00103288,0.00103288,0.00103288
16,534.792,0.99534,0.94281,1.21671,0.90437,0.90138,0.93181,0.70182,0.9284,0.66226,1.15471,0.00100459,0.00100459,0.00100459
17,566.85,0.99065,0.92632,1.21539,0.93483,0.87304,0.93294,0.70192,0.92098,0.66861,1.15154,0.000976293,0.000976293,0.000976293
18,599.072,0.99023,0.92221,1.2172,0.92388,0.87368,0.92806,0.6894,0.9198,0.64556,1.148,0.000947999,0.000947999,0.000947999
19,631.309,0.96048,0.87625,1.19829,0.93376,0.88374,0.92905,0.7169,0.9049,0.63068,1.1226,0.000919704,0.000919704,0.000919704
20,663.613,0.96299,0.85953,1.1895,0.90997,0.89955,0.9331,0.69161,0.94581,0.63249,1.16179,0.00089141,0.00089141,0.00089141
21,695.632,0.93488,0.82805,1.18328,0.93256,0.8914,0.93097,0.72444,0.87461,0.60814,1.10049,0.000863116,0.000863116,0.000863116
22,726.809,0.92998,0.83199,1.17905,0.91508,0.89058,0.93209,0.72786,0.86629,0.59585,1.1014,0.000834822,0.000834822,0.000834822
23,762.128,0.92964,0.82352,1.18082,0.93251,0.91222,0.94445,0.72221,0.89674,0.58126,1.12772,0.000806528,0.000806528,0.000806528
24,797.622,0.91845,0.81471,1.17061,0.92998,0.88831,0.93927,0.72748,0.90496,0.5855,1.14335,0.000778233,0.000778233,0.000778233
25,828.522,0.89236,0.76874,1.15687,0.92296,0.88353,0.93891,0.72619,0.85618,0.56528,1.08802,0.000749939,0.000749939,0.000749939
26,860.182,0.88908,0.76186,1.15272,0.93463,0.89581,0.93688,0.73542,0.86815,0.57051,1.10147,0.000721645,0.000721645,0.000721645
27,893.25,0.88597,0.74416,1.14626,0.94948,0.90928,0.94782,0.7413,0.87419,0.52485,1.10146,0.000693351,0.000693351,0.000693351
28,925.204,0.88503,0.74574,1.14884,0.94071,0.90531,0.94513,0.73563,0.89243,0.54454,1.11087,0.000665057,0.000665057,0.000665057
29,956.828,0.87705,0.72973,1.1419,0.95106,0.90997,0.94922,0.7421,0.87116,0.51192,1.09358,0.000636762,0.000636762,0.000636762
30,988.554,0.84057,0.68782,1.1137,0.94962,0.90328,0.94709,0.74183,0.85224,0.52129,1.08756,0.000608468,0.000608468,0.000608468
31,1020.07,0.8409,0.70858,1.12045,0.93107,0.9131,0.94239,0.74523,0.86068,0.51316,1.0894,0.000580174,0.000580174,0.000580174
32,1051.8,0.82095,0.65592,1.10891,0.93399,0.91622,0.94484,0.75386,0.84373,0.50109,1.07116,0.00055188,0.00055188,0.00055188
33,1083.12,0.82262,0.66752,1.11131,0.93353,0.90445,0.94411,0.74958,0.84353,0.51175,1.08037,0.000523586,0.000523586,0.000523586
34,1114.46,0.80817,0.64489,1.09787,0.92442,0.93713,0.95236,0.75793,0.8471,0.48871,1.07784,0.000495291,0.000495291,0.000495291
35,1145.34,0.79919,0.63862,1.09104,0.94547,0.91592,0.95537,0.75456,0.85399,0.50816,1.08501,0.000466997,0.000466997,0.000466997
36,1176.89,0.78337,0.61358,1.08754,0.93976,0.91798,0.94379,0.74539,0.86942,0.50588,1.08886,0.000438703,0.000438703,0.000438703
37,1208.61,0.78833,0.62109,1.09273,0.92976,0.93703,0.95339,0.76094,0.8349,0.46293,1.07289,0.000410409,0.000410409,0.000410409
38,1240.15,0.77127,0.59467,1.07957,0.95605,0.92291,0.95807,0.76265,0.84381,0.4639,1.08339,0.000382115,0.000382115,0.000382115
39,1272.03,0.75911,0.58956,1.07439,0.95405,0.9225,0.95373,0.75767,0.84005,0.47622,1.06814,0.00035382,0.00035382,0.00035382
40,1303.42,0.74584,0.57922,1.06925,0.93739,0.92935,0.95876,0.77034,0.82637,0.47554,1.07042,0.000325526,0.000325526,0.000325526
41,1335.24,0.63076,0.37476,1.00143,0.93905,0.92437,0.9479,0.75779,0.82063,0.47692,1.07241,0.000297232,0.000297232,0.000297232
42,1365.56,0.61573,0.3614,0.99914,0.95344,0.93368,0.95542,0.76894,0.82656,0.45373,1.07365,0.000268938,0.000268938,0.000268938
43,1396.33,0.59793,0.34577,0.98138,0.95471,0.93252,0.9562,0.7622,0.83082,0.45592,1.08139,0.000240644,0.000240644,0.000240644
44,1426.88,0.58508,0.33744,0.98064,0.96407,0.92023,0.95939,0.77131,0.83133,0.46667,1.08091,0.000212349,0.000212349,0.000212349
