epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.314,1.31848,2.37776,1.54912,0.55912,0.53471,0.53026,0.31821,1.35844,2.81692,1.57017,0.000475154,0.000475154,0.000475154
2,81.3815,1.43536,1.97014,1.61137,0.47762,0.52658,0.49851,0.28942,1.38992,2.18962,1.59144,0.000932648,0.000932648,0.000932648
3,119.844,1.42461,1.80612,1.57094,0.58765,0.55578,0.57513,0.35414,1.33318,2.1128,1.535,0.00137128,0.00137128,0.00137128
4,158.218,1.35624,1.70074,1.51784,0.78675,0.6287,0.73347,0.48714,1.1934,1.52602,1.3961,0.00134412,0.00134412,0.00134412
5,196.616,1.27916,1.50843,1.45719,0.78294,0.66072,0.76062,0.49586,1.18463,1.22687,1.393,0.00131582,0.00131582,0.00131582
6,234.989,1.23233,1.40376,1.42255,0.7996,0.76226,0.83475,0.57033,1.14577,1.11385,1.38316,0.00128753,0.00128753,0.00128753
7,273.667,1.1696,1.29572,1.38779,0.8608,0.77041,0.86382,0.60077,1.11692,0.98763,1.34103,0.00125923,0.00125923,0.00125923
8,312.891,1.14673,1.19171,1.36496,0.82958,0.81344,0.85943,0.60224,1.11476,1.01202,1.32618,0.00123094,0.00123094,0.00123094
9,351.34,1.09856,1.14534,1.33248,0.88235,0.80419,0.87942,0.65793,0.99103,0.88326,1.2181,0.00120265,0.00120265,0.00120265
10,389.708,1.07102,1.07636,1.31282,0.90566,0.83891,0.91163,0.6722,0.97213,0.75212,1.23253,0.00117435,0.00117435,0.00117435
11,428.236,1.04974,1.04421,1.29959,0.86915,0.83124,0.89433,0.65166,1.03419,0.85546,1.27661,0.00114606,0.00114606,0.00114606
12,466.514,1.02936,0.99476,1.27297,0.88155,0.88083,0.91721,0.69856,0.92489,0.74118,1.18854,0.00111776,0.00111776,0.00111776
13,504.824,1.00859,0.94036,1.26042,0.91373,0.8299,0.9053,0.67676,0.99251,0.79812,1.21979,0.00108947,0.00108947,0.00108947
14,543.528,0.99009,0.93396,1.24636,0.89212,0.86379,0.90263,0.66591,0.97604,0.84378,1.20104,0.00106118,0.00106118,0.00106118
15,582.227,0.96825,0.89028,1.24102,0.903,0.84784,0.91364,0.6872,0.93931,0.72821,1.17776,0.00103288,0.00103288,0.00103288
16,621.561,0.94454,0.875,1.22269,0.88721,0.88907,0.91442,0.69741,0.94421,0.71178,1.17368,0.00100459,0.00100459,0.00100459
17,660.39,0.94371,0.84782,1.22123,0.92578,0.87137,0.93213,0.71024,0.92194,0.69006,1.15047,0.000976293,0.000976293,0.000976293
18,698.983,0.93446,0.83564,1.21917,0.93236,0.86598,0.93596,0.70563,0.93895,0.61833,1.17101,0.000947999,0.000947999,0.000947999
19,737.106,0.90757,0.80942,1.19751,0.93994,0.89168,0.92799,0.69245,0.96677,0.62246,1.18877,0.000919704,0.000919704,0.000919704
20,775.092,0.90999,0.78983,1.19348,0.91289,0.86856,0.92794,0.70639,0.91293,0.66304,1.16043,0.00089141,0.00089141,0.00089141
21,813.239,0.87005,0.74811,1.17523,0.93311,0.89596,0.93782,0.73363,0.87924,0.60891,1.12461,0.000863116,0.000863116,0.000863116
22,851.295,0.8826,0.75751,1.18204,0.92299,0.90338,0.94124,0.74314,0.88025,0.62016,1.12223,0.000834822,0.000834822,0.000834822
23,889.56,0.86653,0.74446,1.17652,0.94806,0.88971,0.94416,0.74069,0.89454,0.55602,1.14545,0.000806528,0.000806528,0.000806528
24,927.687,0.84896,0.7344,1.16092,0.89999,0.91854,0.94451,0.7328,0.89028,0.58427,1.13011,0.000778233,0.000778233,0.000778233
25,965.972,0.82615,0.68512,1.14432,0.89761,0.93268,0.94566,0.73675,0.9005,0.55234,1.12987,0.000749939,0.000749939,0.000749939
26,1004.16,0.82274,0.68938,1.14193,0.91603,0.91101,0.94463,0.73909,0.89038,0.54597,1.14646,0.000721645,0.000721645,0.000721645
27,1042.84,0.81472,0.67105,1.13719,0.92106,0.91648,0.94243,0.74547,0.86393,0.54833,1.1321,0.000693351,0.000693351,0.000693351
28,1080.76,0.8167,0.67114,1.13912,0.93897,0.91291,0.94881,0.75095,0.87407,0.53285,1.11409,0.000665057,0.000665057,0.000665057
29,1118.65,0.79939,0.65153,1.12465,0.94271,0.88021,0.9446,0.74053,0.87284,0.54619,1.10253,0.000636762,0.000636762,0.000636762
30,1156.6,0.76483,0.61434,1.10123,0.9379,0.91068,0.94908,0.75342,0.86956,0.55156,1.12652,0.000608468,0.000608468,0.000608468
31,1194.55,0.76647,0.62945,1.10649,0.93607,0.91189,0.9462,0.74731,0.87123,0.51077,1.12863,0.000580174,0.000580174,0.000580174
32,1232.15,0.74474,0.57973,1.08765,0.94442,0.91287,0.95637,0.76504,0.85087,0.4888,1.10281,0.00055188,0.00055188,0.00055188
33,1270.14,0.7403,0.58177,1.08988,0.93858,0.92936,0.95029,0.75326,0.8644,0.48803,1.11777,0.000523586,0.000523586,0.000523586
34,1308.16,0.73153,0.57688,1.08086,0.94306,0.9169,0.95122,0.75439,0.85641,0.50396,1.11827,0.000495291,0.000495291,0.000495291
35,1346.54,0.72393,0.55612,1.07774,0.95172,0.90848,0.95844,0.7644,0.87025,0.47713,1.1299,0.000466997,0.000466997,0.000466997
36,1384.99,0.70271,0.5391,1.0683,0.95694,0.90798,0.95221,0.75405,0.88322,0.49242,1.14435,0.000438703,0.000438703,0.000438703
37,1423.23,0.70182,0.54876,1.07183,0.95789,0.91386,0.953,0.76376,0.84847,0.47018,1.11973,0.000410409,0.000410409,0.000410409
38,1461.48,0.68628,0.51695,1.05451,0.94903,0.92184,0.95427,0.75968,0.85176,0.48315,1.12244,0.000382115,0.000382115,0.000382115
39,1499.73,0.67957,0.51245,1.05308,0.96583,0.92029,0.96167,0.77083,0.85471,0.46002,1.11376,0.00035382,0.00035382,0.00035382
40,1537.9,0.66031,0.49592,1.04474,0.9655,0.90222,0.96201,0.7656,0.85968,0.46755,1.13336,0.000325526,0.000325526,0.000325526
41,1577.54,0.55362,0.32195,0.9691,0.95566,0.90824,0.95614,0.76759,0.85315,0.46008,1.12512,0.000297232,0.000297232,0.000297232
42,1615.65,0.53173,0.31108,0.96723,0.94436,0.92463,0.96048,0.77093,0.85455,0.45444,1.12836,0.000268938,0.000268938,0.000268938
43,1653.7,0.51818,0.29574,0.95041,0.94133,0.91463,0.95591,0.76274,0.86149,0.47614,1.13579,0.000240644,0.000240644,0.000240644
44,1691.84,0.49784,0.28699,0.94556,0.95161,0.91639,0.95705,0.77486,0.85351,0.46461,1.13248,0.000212349,0.000212349,0.000212349
